player_name,player_key,datasets,draft_year_min,draft_year_max,source_row_count,match_method,nba_person_id,nba_full_name,nba_is_active,headshot_url,local_file,download_status,http_status,content_type
Joe Wieskamp,joe wieskamp,historical,2021,2021,1,exact_full_name,1630580.0,Joe Wieskamp,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630580.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\joe_wieskamp__1630580.png,downloaded,200.0,image/png
Jonathan Kuminga,jonathan kuminga,historical,2021,2021,1,exact_full_name,1630228.0,Jonathan Kuminga,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jonathan_kuminga__1630228.png,downloaded,200.0,image/png
Josh Christopher,josh christopher,historical,2021,2021,1,exact_full_name,1630528.0,Josh Christopher,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630528.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\josh_christopher__1630528.png,downloaded,200.0,image/png
Josh Giddey,josh giddey,historical,2021,2021,1,exact_full_name,1630581.0,Josh Giddey,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\josh_giddey__1630581.png,downloaded,200.0,image/png
Joshua Primo,joshua primo,historical,2021,2021,1,exact_full_name,1630563.0,Joshua Primo,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630563.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\joshua_primo__1630563.png,downloaded,200.0,image/png
Juhann Begarin,juhann begarin,historical,2021,2021,1,unmatched,,,,,,unmatched,,
Kai Jones,kai jones,historical,2021,2021,1,exact_full_name,1630539.0,Kai Jones,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630539.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\kai_jones__1630539.png,downloaded,200.0,image/png
Keon Johnson,keon johnson,historical,2021,2021,1,exact_full_name,1630553.0,Keon Johnson,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630553.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\keon_johnson__1630553.png,downloaded,200.0,image/png
Kessler Edwards,kessler edwards,historical,2021,2021,1,exact_full_name,1630556.0,Kessler Edwards,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630556.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\kessler_edwards__1630556.png,downloaded,200.0,image/png
Miles McBride,miles mcbride,historical,2021,2021,1,exact_full_name,1630540.0,Miles McBride,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630540.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\miles_mcbride__1630540.png,downloaded,200.0,image/png
